trip_id,route_id,direction_id
5838888-22_R_95_2207_16:10-PROJET2025-22-Semaine-20,22,1
6369761-42_R_94_4203_16:40-PROJET2025-42-Semaine-83,42,1
6414771-34_R_27_3401_16:24-PROJET2025-34-L-Ma-J-V-20,34,1
6428101-98_A_50_9804_14:44-SETP2025-98-Semaine-08,98,0
6369697-30_A_50_3003_14:47-SETP2025-30-Semaine-32,30,0
6409617-57_R_99_5710_14:10-SETP2025-57-Semaine-06,57,
5340971-72_A_50_7201_15:50-PROJET2024-72-Semaine-74,72,0
6409589-57_A_50_5714_14:00-SETP2025-57-Semaine-06,57,
6252452-11_R_97_1101_16:25-SETP2025-11-Semaine-37,11,1
5673218-NVN1_R_98_NVN102_14:15-PROJET2024-NVence1-Semaine-15,NVN1,
5925332-54_A_47_5402_17:06-PROJET2025-54-Semaine-17,54,0
6419998-35_A_50_3502_14:44-SETP2025-35-Semaine-35,35,0
6428454-61_A_50_6105_15:50-PROJET2025-61-Semaine-24,61,0
6428324-60_R_99_6002_16:00-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,1
6414321-07_A_49_0709_16:00-SETP2025-07-L-Ma-J-V-41,07,0
6365959-20_R_99_2003_15:35-SETP2025-20-Semaine-42,20,1
4669812-62_R_98_6201_14:40-RESEAU2023-62-Semaine-17,62,
6369696-30_A_50_3002_14:26-SETP2025-30-Semaine-32,30,
4542699-44_A_50_4401_15:40-RESEAU2023-44-Semaine-89,44,0
6428294-60_A_50_6002_15:30-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,0
6416313-51_A_49_5105_15:29-PROJET2025-51-Semaine-10,51,0
6355792-18_R_99_1807_13:59-SETP2025-18-Semaine-39,18,
6429300-15_R_99_1503_14:16-SETP2025-15-Semaine-11,15,
4669815-62_R_99_6206_15:50-RESEAU2023-62-Semaine-17,62,1
4669798-62_A_48_6204_14:40-RESEAU2023-62-Semaine-17,62,0
6429257-15_R_99_1501_15:04-SETP2025-15-Semaine-11,15,1
4669811-62_R_98_6201_16:12-RESEAU2023-62-Semaine-17,62,1
