trip_id,stop_sequence,stop_id,arrival_time,departure_time
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,10,191,,1757490600
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,11,2659,1757490917,1757490917
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,12,1350,1757490942,1757490942
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,13,2884,1757490960,1757490960
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,14,2837,1757491061,1757491061
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,15,2835,1757491320,1757491320
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,16,1158,1757491734,1757491734
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,17,816,1757491811,1757491811
6257323-59_R_98_5902_09:20-PROJET2025-59-Semaine-26,18,2853,1757492040,
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,24,404,1757488955,1757488955
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,25,1455,,1757488950
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,26,938,1757489075,1757489075
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,27,1476,1757489249,1757489249
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,28,279,1757489284,1757489284
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,29,711,,1757489403
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,30,526,1757489515,1757489515
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,31,510,1757489546,1757489546
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,32,801,1757489577,1757489577
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,33,772,1757489603,1757489603
6409556-57_A_50_5712_08:45-SETP2025-57-Semaine-06,34,2826,1757489646,
6413091-38_R_99_3803_10:49-SETP2025-38-Semaine-41,1,1309,1757494433,1757494433
6413091-38_R_99_3803_10:49-SETP2025-38-Semaine-41,2,2977,1757494609,1757494609
6413091-38_R_99_3803_10:49-SETP2025-38-Semaine-41,3,1620,1757494860,1757494860
6413091-38_R_99_3803_10:49-SETP2025-38-Semaine-41,4,20,1757494983,1757494983
6413091-38_R_99_3803_10:49-SETP2025-38-Semaine-41,5,964,1757495052,1757495052
6413091-38_R_99_3803_10:49-SETP2025-38-Semaine-41,6,1218,1757495132,1757495132
